cell_id,cell_type,batch,v1,v2,v3,v4,v5,v6,v7,v8
cell_001,T_cell,batch_a,0.12,0.22,0.31,0.44,0.58,0.62,0.73,0.81
cell_002,T_cell,batch_a,0.11,0.21,0.34,0.43,0.56,0.61,0.71,0.83
cell_003,B_cell,batch_a,0.82,0.76,0.63,0.51,0.42,0.33,0.24,0.15
cell_004,B_cell,batch_b,0.79,0.73,0.66,0.54,0.41,0.34,0.22,0.18
cell_005,Monocyte,batch_b,0.32,0.48,0.57,0.69,0.74,0.80,0.88,0.93
cell_006,Monocyte,batch_b,0.35,0.46,0.59,0.67,0.75,0.82,0.86,0.91
cell_007,NK_cell,batch_c,0.92,0.84,0.78,0.63,0.49,0.36,0.28,0.12
cell_008,NK_cell,batch_c,0.90,0.81,0.76,0.61,0.47,0.38,0.29,0.14
cell_009,Dendritic,batch_c,0.24,0.39,0.45,0.52,0.63,0.71,0.79,0.87
cell_010,Dendritic,batch_a,0.27,0.37,0.44,0.55,0.64,0.70,0.77,0.85
